sample_ID	pop
1b	Mother
B12	 Creek
B17	 Creek
B2	 Creek
B20	 Creek
B3	 Creek
B4	 Creek
B5	 Creek
B7	 Creek
B8	 Creek
C10	 Creek
C12	 Creek
C2	 Creek
C3	 Creek
C4	 Creek
C5	 Creek
C8	 Creek
M1	 Creek
M2	 Creek
M4	 Creek
S1	 Lake
S10	 Lake
S11	 Lake
S12	 Lake
S14	 Lake
S15	 Lake
S16	 Lake
S17	 Lake
S18	 Lake
S19	 Lake
S20	 Lake
S21	 Lake
S22	 Lake
S23	 Lake
S24	 Lake
S25	 Lake
S4	 Lake
S5	 Lake
S8	 Lake
